L,Cmps,QPS,Recall,QPS_no_filter
10,50.51,3033.94,0.415,10674.2
20,64.1875,3502.18,0.5385,20154.7
50,90.1567,3168.07,0.6345,12542.4
100,122.751,2772.81,0.6655,8017.63
150,153.799,2772.42,0.6745,8014.41
200,181.807,2559.7,0.6805,6462.02
250,206.712,2350.03,0.6835,5274.1
300,229.018,2243.99,0.6865,4768.39
400,251.383,2333.75,0.688,5192.77
500,272.46,2364.43,0.688,5347.15
600,291.809,2242.23,0.688,4760.44
700,309.36,2147.65,0.688,4353.4
800,325.18,2075.12,0.688,4065.37
1000,339.734,1965.04,0.6885,3663.34
1200,352.683,1923.26,0.689,3520.76
